state,mi_1979,mi_1989,pci_1979,pci_1989
Alabama,18613,34930,7275,14986
Alaska,31037,48411,13745,22133
Arizona,23000,38347,8712,16803
Arkansas,18493,31853,7090,13946
California,25109,42813,10758,20561
Colorado,25228,40265,9820,18930
Connecticut,24410,53313,10908,25659
Delaware,21184,42790,9547,20707
District of Columbia,21310,40574,12207,24276
Florida,20757,37399,8939,19081
Georgia,21578,40019,7850,16942
Hawaii,24582,44988,10571,20897
Idaho,20429,33633,8009,15232
Illinois,24265,42609,10117,19888
Indiana,22614,38201,8732,16942
Iowa,22567,36736,9016,16803
Kansas,22848,37938,9251,17433
Kentucky,19138,34390,7535,14784
Louisiana,20166,34406,7846,14185
Maine,18074,38336,7636,17223
Maryland,24686,50145,10311,22127
Massachusetts,23786,51799,9481,22477
Michigan,24422,42825,9566,18332
Minnesota,24409,42365,9360,18992
Mississippi,17672,32300,6633,12717
Missouri,21294,38478,8695,17277
Montana,20051,33882,8298,14726
Nebraska,20749,37902,8843,17338
Nevada,25457,39737,10945,19653
New Hampshire,22335,47983,8896,20685
New Jersey,24640,53229,10493,23692
New Mexico,21032,31156,7878,14532
New York,21082,43693,9831,22461
North Carolina,19648,38068,7568,16708
North Dakota,19520,34806,8445,14671
Ohio,22528,41469,9088,17703
Oklahoma,20852,34470,8557,15402
Oregon,24031,38723,9461,17235
Pennsylvania,22314,40404,9155,18543
Rhode Island,21636,43278,8742,19839
South Carolina,20154,36113,7219,15190
South Dakota,19209,32829,8222,15060
Tennessee,19437,34882,7620,15847
Texas,23416,34978,8978,16417
Utah,21250,36562,7748,14050
Vermont,19314,40397,7940,17782
Virginia,22976,45090,9425,20136
Washington,24410,41728,10156,19028
West Virginia,18876,31811,7335,13618
Wisconsin,23518,40557,9172,17612
Wyoming,22673,35620,10437,16673

